MalaCard_ID,MalaCard_Name,OMIM_ID,DO_ID
FLL037,Follicular Lymphoma,,DOID:0050873
PLY001,Polycythemia Vera,263300,DOID:8997
LKM002,Leukemia,,DOID:1240
MRF001,Marfan Syndrome,154700,DOID:14323
ALP046,"Alport Syndrome, X-Linked",301050,DOID:10983
MLD001,Melioidosis,615557,DOID:5052
LVR012,Liver Cirrhosis,,DOID:5082
CHG001,Chagas Disease,,DOID:12140
BRN028,Brain Cancer,,DOID:1319
NSP012,Nasopharyngeal Carcinoma,607107,DOID:9261
SCH015,Schizophrenia,181500,DOID:5419
WGN006,Wegener Granulomatosis,608710,DOID:12132
ESS003,Essential Thrombocythemia,,DOID:2224
JVN010,Juvenile Rheumatoid Arthritis,,
HRP006,Herpes Simplex,,DOID:8566
DWN001,Down Syndrome,190685,DOID:14250
CNN003,Conn's Syndrome,,
ATN007,"Autoinflammation, Lipodystrophy, and Dermatosis Syndrome",256040,DOID:0050553
LYM017,Lyme Disease,,DOID:11729
HYD006,Hydrocephalus,,DOID:10908
LYM007,Lymphangioleiomyomatosis,606690,DOID:3319
ADL010,Adult Respiratory Distress Syndrome,,DOID:11394
PLM164,"Pulmonary Hypertension, Primary, 1",178600,
CNJ013,Conjunctivitis,,DOID:6195
HSH003,Hashimoto Thyroiditis,140300,DOID:7188
BRT054,Brittle Bone Disorder,603828,DOID:12347
SPN186,Spinal Cord Injury,,
TYP007,Typhoid Fever,,DOID:13258
TKY002,Takayasu Arteritis,207600,DOID:2508
LPD012,Lipoid Congenital Adrenal Hyperplasia,201710,DOID:0050811
THN009,"Thanatophoric Dysplasia, Type I",187600,DOID:13481
CLC063,Celiac Disease 1,212750,DOID:10608
GST045,Gastroenteritis,,DOID:2326
ADL030,Adult-Onset Still's Disease,,DOID:14256
SCR008,Scrub Typhus,,DOID:13371
CRT072,Creutzfeldt-Jakob Disease,123400,DOID:5435
RCT015,Reactive Arthritis,,DOID:6196
ALC007,Alcohol Dependence,103780,DOID:0050741
MDD011,Mood Disorder,,DOID:3324
APP008,Appendicitis,,DOID:8337
LPT001,Leptospirosis,,DOID:2297
FCT002,Factor Xi Deficiency,612416,DOID:2229
HYP020,Hyperprolactinemia,615555,DOID:12700
CNT047,Contact Dermatitis,,DOID:2773
GNG013,Gingivitis,,DOID:3087
SRC025,Sarcoidosis 1,181000,DOID:11335
HPT003,Hepatitis a,,DOID:12549
KRT001,Keratoconjunctivitis Sicca,,DOID:12895
ACT210,Acute Respiratory Distress Syndrome,,
MYS005,Myositis,160750,
HMR004,Hemorrhagic Fever with Renal Syndrome,,DOID:11266
CRD119,Cardiac Arrest,,DOID:0060319
ALC004,Alcohol Abuse,,DOID:1574
INT066,Interstitial Lung Disease,,DOID:3082
SNS014,Sinusitis,,
KRT019,"Keratitis, Hereditary",148190,DOID:4677
ALC006,Alcoholic Hepatitis,,DOID:12351
CMM005,Common Cold,,DOID:10459
CMR001,Camurati-Engelmann Disease,131300,DOID:4997
KBK002,Kabuki Syndrome 1,147920,DOID:0060473
FCT007,Factor Vii Deficiency,227500,DOID:2215
DFC004,Deficiency Anemia,,DOID:2355
MCR129,Microvascular Complications of Diabetes 1,603933,DOID:13207
PRP030,Purpura,,DOID:3326
NRV006,Nervous System Cancer,,DOID:3093
ACT074,Acute Lymphocytic Leukemia,,DOID:9952
SYN007,Synovitis,,DOID:2703
MCS002,Mucositis,,DOID:0080178
TXC005,Toxic Shock Syndrome,,DOID:14115
HMR003,Hemorrhagic Disease,,DOID:2213
MCP040,Mucopolysaccharidosis-Plus Syndrome,617303,DOID:12798
SPN052,Spondyloarthropathy,,DOID:1123
CTR002,Cataract,,
MNT002,Mental Depression,,DOID:1596
IDP011,Idiopathic Interstitial Pneumonia,,DOID:2797
3HY005,3-Hydroxyacyl-Coa Dehydrogenase Deficiency,231530,
ALL010,Allergic Contact Dermatitis,,DOID:3042
ACN002,Acanthosis Nigricans,100600,DOID:3138
PLY018,Polycythemia,,DOID:8432
DBT010,Diabetic Neuropathy,,DOID:9743
INF032,Infertility,,DOID:5223
LGG001,Legg-Calve-Perthes Disease,150600,DOID:14415
ALZ049,Alzheimer Disease 2,104310,DOID:0110035
PRC002,Paracoccidioidomycosis,,DOID:12662
BCT007,Bacterial Meningitis,,DOID:9470
PLS007,Plasmodium Falciparum Malaria,,DOID:14067
CHL067,Cholecystitis,,DOID:1949
HYP069,Hyperparathyroidism,,DOID:13543
INT030,Intracranial Aneurysm,,DOID:10941
PLY019,Polyneuropathy,,DOID:1389
FLR002,Filariasis,,DOID:1080
CMP010,Complex Regional Pain Syndrome,,DOID:3223
OVR049,Ovarian Disease,,DOID:1414
PLM012,Pulmonary Sarcoidosis,,DOID:13406
END033,Endocarditis,,DOID:10314
ACT105,Acute Mountain Sickness,,
SJG008,Sjogren Syndrome,270150,DOID:12894
GLY060,Glycogen Storage Disease Ia,232200,DOID:2749
LKD001,Leukodystrophy,,DOID:10579
CYS018,Cystitis,,DOID:1679
CNS004,Constipation,,DOID:2089
ERD001,Erdheim-Chester Disease,,DOID:4329
SLC006,Silicosis,,DOID:10325
EXT034,Extrinsic Allergic Alveolitis,,
BRN106,Burns,,
ISL003,Isolated Growth Hormone Deficiency,,DOID:0060870
PTT009,Pituitary Gland Disease,,
INF034,Infective Endocarditis,,DOID:0060000
BCT002,Bacterial Vaginosis,,DOID:3385
DBN001,Dubin-Johnson Syndrome,237500,DOID:12308
BNF002,Bone Fracture,,
PRN019,Perinatal Necrotizing Enterocolitis,,DOID:8677
LYM027,Lymphopenia,,
RTN016,Retinal Degeneration,,DOID:8466
IGR001,"Ige Responsiveness, Atopic",147050,
PLS006,Plasmodium Vivax Malaria,,DOID:12978
PLV003,Pelvic Inflammatory Disease,,DOID:1003
MGR003,Migraine with Aura,,DOID:10024
NPH018,Nephrogenic Systemic Fibrosis,,
EXF001,Exfoliation Syndrome,177650,DOID:13641
CYS010,Cystinosis,,DOID:1064
MCN007,Meconium Aspiration Syndrome,,DOID:11049
IRN001,Iron Deficiency Anemia,,DOID:11758
BRN022,Bronchiectasis,,DOID:9563
AGG001,Aggressive Periodontitis,,DOID:1474
AMN001,Amenorrhea,,DOID:13938
SPS003,Spastic Diplegia,,DOID:10965
PRC013,Pericarditis,,DOID:1787
SYP003,Syphilis,,DOID:4166
TST014,Testicular Cancer,,DOID:2998
TRC086,Trichohepatoenteric Syndrome 1,222470,
RHM028,Rheumatic Heart Disease,,DOID:14172
SCK005,Sickle Cell Disease,,
IMP005,Impotence,,DOID:1875
LKN025,"Leukoencephalopathy, Hereditary Diffuse, with Spheroids",221820,
CLC001,Calciphylaxis,,DOID:4734
SCK002,Sick Sinus Syndrome,,DOID:13884
HYP005,Hypokalemia,,DOID:4500
HPT009,Hepatopulmonary Syndrome,,
ANT034,Anterior Uveitis,,
VRL007,Viral Encephalitis,,
CTN003,Cutaneous Lupus Erythematosus,,DOID:0050169
TRN034,Transverse Myelitis,,
DDN001,Duodenal Ulcer,,DOID:1724
FBR032,Fibromuscular Dysplasia,135580,
STM007,Stomatitis,,DOID:9637
PST095,Post-Thrombotic Syndrome,,DOID:2364
OVR046,Ovarian Cyst,,DOID:5119
HYP068,Hyperostosis,,
VTM028,"Vitamin E, Familial Isolated Deficiency of",277460,DOID:0090028
ILT001,Ileitis,,DOID:0060189
PLR008,Pleurisy,,DOID:10247
FNC043,"Fanconi Anemia, Complementation Group E",600901,DOID:0111084
PRC012,Pericardial Effusion,,
DBT004,Diabetic Polyneuropathy,,DOID:12785
PLY017,Polyarteritis Nodosa,,DOID:9810
NPH091,"Nephrolithiasis, Calcium Oxalate",167030,
FML089,Familial Thoracic Aortic Aneurysm and Dissection,,
GSG001,Gas Gangrene,,DOID:9159
ATR005,Atrophic Gastritis,,DOID:8929
END046,Endometritis,,DOID:1002
OPN001,Open-Angle Glaucoma,,DOID:1067
INT067,Interstitial Nephritis,,DOID:1063
PST041,Posterior Urethral Valves,,
STR072,Stromal Keratitis,,
HYP043,Hyperandrogenism,,DOID:11613
PPL049,Papillon-Lefevre Syndrome,245000,DOID:3389
DNT012,Dental Caries,,
ACT017,Acute Chest Syndrome,,DOID:1584
HMC002,Homocystinuria,,DOID:9263
CLD007,Cold Agglutinin Disease,,
PRM108,Primary Progressive Multiple Sclerosis,,DOID:0050784
SCL015,Scleritis,,DOID:13452
HMS001,Hemosiderosis,,DOID:12119
ACT068,Acute Cystitis,,DOID:13148
URT031,Ureteral Disease,,DOID:1426
IDP024,Idiopathic Inflammatory Myopathy,,
CRV039,Cervicitis,,DOID:2568
VRL012,Viral Meningitis,,DOID:10310
PRD040,"Periodontitis, Chronic",260950,
MTB004,Metabolic Acidosis,,DOID:0050758
ACT164,Actinic Prurigo,174770,
DBT006,Diabetic Macular Edema,,DOID:9191
INH020,Inherited Metabolic Disorder,,
PTT037,Pituitary Tumors,,
PLM017,Pulmonary Alveolar Microlithiasis,265100,DOID:12117
HYP740,"Hyperlipoproteinemia, Type V",144650,DOID:1171
VND001,Vein Disease,,
PRP036,Peripheral T-Cell Lymphoma,,
AMY009,Amyloidosis Aa,,
DWR001,Dwarfism,,
CNT046,Central Nervous System Vasculitis,,
DST006,Diastolic Heart Failure,,DOID:9775
CHR431,Chronic Venous Insufficiency,,DOID:0050853
HRM006,Hermansky-Pudlak Syndrome 3,614072,DOID:0060541
DNG001,Dengue Shock Syndrome,,DOID:0050125
NM001,Noma,,DOID:9672
HYP458,Hyper Ige Syndrome,,
NTR018,"Neutrophilia, Hereditary",162830,DOID:0090120
ACD008,Acid-Labile Subunit Deficiency,615961,
SPN119,Spondylarthropathy,,
HYP085,Hypothalamic Disease,,DOID:1931
