MalaCard_ID,MalaCard_Name,DO_ID,OMIM_ID
HYP060,Hyperinsulinism,,
ALZ034,Alzheimer Disease,,
HYP595,"Hypertension, Essential",,
ART016,Aortic Aneurysm,,
FTT001,Fatty Liver Disease,,
LPD008,Lipid Metabolism Disorder,,
ABD014,Abdominal Obesity-Metabolic Syndrome 1,,
CRN030,Coronary Stenosis,,
CRT013,Carotid Stenosis,,
LVR013,Liver Disease,,
HYP066,Hyperglycemia,,
PNM007,Pneumonia,,
CNN005,Connective Tissue Disease,,
INT074,Intracranial Arteriosclerosis,,
GLC003,Glucose Intolerance,,
HYP750,"Hypertriglyceridemia, Familial",,
CNG034,Congestive Heart Failure,,
PRT036,Peritonitis,,
TNG002,Tangier Disease,,
PRD007,Periodontal Disease,,
CLC006,Calcinosis,,
ACQ007,Acquired Immunodeficiency Syndrome,,
SLP006,Sleep Apnea,,
ABD017,Abdominal Obesity-Metabolic Syndrome Quantitative Trait Locus 2,,
ART106,"Arterial Calcification, Generalized, of Infancy, 1",,
BDY007,Body Mass Index Quantitative Trait Locus 1,,
XNT003,Xanthomatosis,,
RTN023,Retinitis,,
GLC008,Glucose Metabolism Disease,,
AST005,Asthma,,
SPN225,Spondyloarthropathy 1,,
DMN002,Dementia,,
VSC011,Vasculitis,,
ENC018,Encephalopathy,,
STS003,Sitosterolemia,,
URN009,Urinary System Disease,,
LPD010,Lipodystrophy,,
SPN051,Spondylitis,,
INT007,Intermediate Coronary Syndrome,,
FBR046,"Fibrosis of Extraocular Muscles, Congenital, 1",,
INF009,Inflammatory Spondylopathy,,
PSR001,Psoriatic Arthritis,,
NRP001,Neuropathy,,
RHM027,Rheumatic Disease,,
ANT006,Antiphospholipid Syndrome,,
HYP724,"Hyperlipoproteinemia, Type Iii",,
VSC002,Vascular Dementia,,
CLL015,Collagen Disease,,
CRN017,Coronary Thrombosis,,
HYP555,"Hypertriglyceridemia, Transient Infantile",,
MNT310,"Mental Retardation, X-Linked, Syndromic, Snyder-Robinson Type",,
ATM052,Autoimmune Disease 1,,
KWS002,Kawasaki Disease,,
MCR115,Microvascular Complications of Diabetes 5,,
PLY011,Polycystic Ovary Syndrome,,
CNT035,Central Nervous System Disease,,
HYP086,Hypothyroidism,,
HYP266,Hypoxia,,
INT002,Intermittent Claudication,,
LCT022,Lecithin:cholesterol Acyltransferase Deficiency,,
GT001,Gout,,
ERY003,Erythema Multiforme,,
ART138,"Aortic Aneurysm, Familial Abdominal, 1",,
HYP614,"Hyperlipidemia, Familial Combined",,
CRD132,Cardiac Conduction Defect,,
HYP732,Hyperalphalipoproteinemia 1,,
ATN004,Autonomic Neuropathy,,
RST023,"Resting Heart Rate, Variation in",,
DFF018,Diffuse Dermal Angiomatosis,,
MCL042,"Macular Degeneration, Age-Related, 1",,
OST002,Osteoporosis,,
BRC012,Brucellosis,,
APN008,"Apnea, Obstructive Sleep",,
THL005,Thalassemia,,
PSR002,Psoriasis,,
BRG013,Buerger Disease,,
HYP190,"Hypoalphalipoproteinemia, Primary",,
TRN015,Transient Cerebral Ischemia,,
CYT008,Cytomegalovirus Infection,,
MYP006,Myopia,,
HYP014,Hyperuricemia,,
OVR063,Overnutrition,,
GRW007,Growth Hormone Deficiency,,
LMB062,Limb Ischemia,,
HPT025,Hepatic Lipase Deficiency,,
BRN080,Brain Ischemia,,
ENT004,Enthesopathy,,
ANG037,Angiomatosis,,
CTR119,"Cataract 32, Multiple Types",,
MNS002,Mini Stroke,,
ATS285,Autosomal Semi-Dominant Severe Lipodystrophic Laminopathy,,
HYP485,Hypercholesterolemia Due to Cholesterol 7alpha-Hydroxylase Deficiency,,
WRN001,Werner Syndrome,,
ACR007,Acromegaly,,
AMY004,Amyloidosis,,
ART023,Arthropathy,,
HLC007,Helicobacter Pylori Infection,,
CRB011,Cerebrotendinous Xanthomatosis,,
HTC003,Hutchinson-Gilford Progeria Syndrome,,
GLY013,Glycogen Storage Disease,,
JNT002,Joint Disorders,,
LYS012,Lysosomal Acid Lipase Deficiency,,
END030,End Stage Renal Failure,,
NNL002,Nonalcoholic Steatohepatitis,,
HYP818,"Hypobetalipoproteinemia, Familial, 1",,
RTN022,Retinal Vein Occlusion,,
CRN074,Coronary Artery Aneurysm,,
LPP002,Lipoprotein Glomerulopathy,,
RTR011,Retroperitoneal Fibrosis,,
ACT088,Acute Insulin Response,,
BNM029,Bone Mineral Density Quantitative Trait Locus 15,,
ART012,Aortitis,,
BNM022,Bone Mineral Density Quantitative Trait Locus 8,,
DFC001,Defective Apolipoprotein B-100,,
FML018,Familial Mediterranean Fever,,
HPT001,Hepatitis C,,
ANR048,Aniridia 1,,
SKN016,Skin Disease,,
PSD087,Pseudoxanthoma Elasticum,,
LNG099,Lung Disease,,
VRL011,Viral Infectious Disease,,
ABT001,Abetalipoproteinemia,,
RSP006,Respiratory System Disease,,
GST033,Gestational Diabetes,,
SLP005,Sleep Disorder,,
HMR039,"Hemorrhage, Intracerebral",,
IMM136,Immune System Disease,,
MCR113,Microvascular Complications of Diabetes 3,,
LPD015,"Lipodystrophy, Familial Partial, Type 2",,
HYP080,Hypogonadism,,
HYP739,"Hyperlipoproteinemia, Type Iv",,
ART115,Aortic Valve Disease 1,,
HYP081,Hypolipoproteinemia,,
SKN027,Skin Conditions,,
PST011,Pustulosis of Palm and Sole,,
PRD004,Prediabetes Syndrome,,
ART008,Arteriosclerosis Obliterans,,
CRN019,Coronary Artery Vasospasm,,
MCR130,Microvascular Complications of Diabetes 6,,
ARC023,Arcus Corneae,,
MCR120,Microvascular Complications of Diabetes 7,,
MCR133,Microvascular Complications of Diabetes 4,,
ALR002,Al-Raqad Syndrome,,
MDR006,Moderate and Severe Traumatic Brain Injury,,
LMN005,Lmna-Related Cardiocutaneous Progeria Syndrome,,
ANR038,Anorexia Nervosa 1,,
CRT085,Carotid Intimal Medial Thickness 2,,
CRB087,Cerebral Arteriosclerosis,,
BLD137,Blood Group--Ahonen,,
EPL164,Epilepsy,,
MYC084,Mycobacterium Tuberculosis 1,,
HPT016,Hepatitis B,,
SYS005,Systemic Scleroderma,,
MXD005,Mixed Connective Tissue Disease,,
ART067,"Aortic Aneurysm, Familial Thoracic 1",,
ART101,Aortic Valve Disease 2,,
GLL020,Gallbladder Disease,,
PNC044,Pancreatitis,,
VNW001,Von Willebrand's Disease,,
THR092,Thrombophilia Due to Thrombin Defect,,
SCL052,"Scleroderma, Familial Progressive",,
NPH012,Nephrotic Syndrome,,
PRT013,Portal Hypertension,,
HYP083,Hypopituitarism,,
PTN001,Patent Foramen Ovale,,
THY032,Thyroiditis,,
CRD223,Cardiac Arrhythmia,,
INF037,Inflammatory Bowel Disease,,
THY030,Thyroid Gland Disease,,
MYM013,Moyamoya Disease 1,,
HMC014,Homocysteinemia,,
FML035,Familial Hyperlipidemia,,
ART031,Aortic Coarctation,,
NPH010,Nephrosclerosis,,
LKD015,"Leukodystrophy, Hypomyelinating, 3",,
HYP734,"Hypercholesterolemia, Autosomal Dominant, Type B",,
HYP768,"Hyperlipoproteinemia, Type I",,
BNS003,Binswanger's Disease,,
CRT015,Carotid Artery Occlusion,,
PDT035,Pediatric Systemic Lupus Erythematosus,,
EST007,Estrogen Resistance,,
HYP008,Hypertensive Retinopathy,,
CRB088,Cerebral Atrophy,,
CRN020,Coronary Restenosis,,
VSC018,Visceral Steatosis,,
TYM001,Tympanosclerosis,,
FML330,Familial Lcat Deficiency,,
GPS001,Gapo Syndrome,,
ART110,Arteritic Anterior Ischemic Optic Neuropathy,,
FBR089,"Fibrosclerosis, Multifocal",,
NST002,Nestor-Guillermo Progeria Syndrome,,
PSD059,Pseudoxanthoma Elasticum-Like Disorder with Multiple Coagulation Factor Deficiency,,
BLD163,"Blood Group, Dombrock System",,
BLD138,Blood Group--Diego System,,
BRS047,Breast Cancer,,
PRS040,Prostate Cancer,,
CYS001,Cystic Fibrosis,,
INF038,Influenza,,
MYL005,Myelofibrosis,,
PLM129,"Pulmonary Disease, Chronic Obstructive",,
HPT073,Hepatitis C Virus,,
ANX010,Anxiety,,
END044,Endometriosis,,
CMM004,Common Variable Immunodeficiency,,
LYM118,Lymphoma,,
SMT004,Smith-Lemli-Opitz Syndrome,,
CHR012,Chronic Granulomatous Disease,,
HMP029,Hemophilia a,,
ALG028,Alagille Syndrome 1,,
TMP003,Temporal Arteritis,,
BRS051,Breast Disease,,
LCL006,Localized Scleroderma,,
GLN010,Glanzmann Thrombasthenia,,
INT068,Intestinal Disease,,
MTH009,Mouth Disease,,
CRB175,"Cerebral Arteriopathy, Autosomal Dominant, with Subcortical Infarcts and Leukoencephalopathy, Type 1",,
PTT048,"Pituitary Adenoma, Prolactin-Secreting",,
PRP029,Porphyria,,
HYP056,Hypoglycemia,,
EXN002,Exanthem,,
MRB003,Morbid Obesity,,
HMP007,Hemophilia,,
GLM007,Glomerulonephritis,,
GST044,Gastritis,,
BRN019,Bernard-Soulier Syndrome,,
PST028,Post-Traumatic Stress Disorder,,
HRD002,Hereditary Angioedema,,
PRS047,Prostatitis,,
PLM034,Pulmonary Emphysema,,
UND005,Undifferentiated Pleomorphic Sarcoma,,
CRB172,"Cerebral Amyloid Angiopathy, Cst3-Related",,
MYC008,Myocarditis,,
NNR004,Nonarteritic Anterior Ischemic Optic Neuropathy,,
THR015,Thrombophilia,,
ART017,Aortic Disease,,
THR100,"Thrombocytopenic Purpura, Autoimmune",,
IMM158,Immune Suppression,,
ANG015,Angioedema,,
PLM010,Pulmonary Edema,,
NPH009,Nephrolithiasis,,
RTN018,Retinal Disease,,
PYL005,Pyelonephritis,,
ALP008,Alopecia,,
CRT049,Critical Limb Ischemia,,
ALK013,Alkaptonuria,,
ALS001,Alstrom Syndrome,,
THR004,Thrombocytosis,,
PRM006,Primary Biliary Cirrhosis,,
THR001,Thrombocytopenia Due to Platelet Alloimmunization,,
VNS003,Venous Insufficiency,,
FML012,Familial Partial Lipodystrophy,,
OBS001,Obstructive Jaundice,,
CHR005,Chorioamnionitis,,
CHL004,Cholelithiasis,,
HYP806,"Hypertension, Early-Onset, Autosomal Dominant, with Severe Exacerbation in Pregnancy",,
CCN002,Cocaine Abuse,,
GNG011,Gingival Disease,,
FCT001,Factor Viii Deficiency,,
RNV001,Renovascular Hypertension,,
DBT008,Diabetic Angiopathy,,
ACT078,Acute Porphyria,,
ISC002,Ischemic Optic Neuropathy,,
CHR008,Choroiditis,,
BRN108,Branchiootic Syndrome 1,,
EPD070,Epidermoid Cysts,,
THR035,Thrombasthenia,,
RTN014,Retinal Artery Occlusion,,
FSH001,Fish-Eye Disease,,
HYP795,"Hypothyroidism, Congenital, Nongoitrous, 4",,
LYM024,Lymphatic System Disease,,
IRN002,Iron Metabolism Disease,,
PRN037,Prinzmetal's Variant Angina,,
SYS003,Systolic Heart Failure,,
ADP001,Adiposis Dolorosa,,
HYP794,"Hyperoxaluria, Primary, Type I",,
PLS029,Plasminogen Activator Inhibitor-1 Deficiency,,
HYP057,Hypervitaminosis D,,
AND014,Androgenic Alopecia,,
AMR003,Amaurosis Fugax,,
LPD021,"Lipodystrophy, Familial Partial, Type 3",,
LPD035,"Lipodystrophy, Congenital Generalized, Type 4",,
ENC005,Encephalomalacia,,
BLR024,"Biliary Cirrhosis, Primary, 1",,
CYT004,Cytomegalic Inclusion Disease,,
GND003,Gonadal Disease,,
ACQ009,Acquired Metabolic Disease,,
EHL081,"Ehlers-Danlos Syndrome, Classic-Like",,
ATY016,Atypical Werner Syndrome,,
VRT003,Vertebrobasilar Insufficiency,,
ART010,Arteriolosclerosis,,
NRG005,Neurogenic Hypertension,,
RNG031,Ring Chromosome Y Syndrome,,
LPD040,"Lipodystrophy, Familial Partial, Type 1",,
SLN001,Silent Myocardial Infarction,,
STR035,Streptococcal Group a Invasive Disease,,
LGP003,Logopenic Progressive Aphasia,,
FLY003,Flynn-Aird Syndrome,,
ART153,Arthrochalasia Ehlers-Danlos Syndrome,,
ODN020,Odontoma-Dysphagia Syndrome,,
SBC025,Subcortical Arteriosclerotic Encephalopathy,,
ATR024,Atrial Fibrillation and Stroke,,
LPT011,"Lipoatrophy with Diabetes, Leukomelanodermic Papules, Liver Steatosis, and Hypertrophic Cardiomyopathy",,
RCT024,Reactive Angioendotheliomatosis,,
DMN012,Dementia - Subcortical,,
OST012,Osteoarthritis,,
MYL069,"Myeloma, Multiple",,
MLT020,Multiple Sclerosis,,
GST053,Gastric Cancer,,
INS024,Insulin-Like Growth Factor I,,
PLM037,Pulmonary Hypertension,,
FLL037,Follicular Lymphoma,,
PLY001,Polycythemia Vera,,
LKM002,Leukemia,,
MRF001,Marfan Syndrome,,
ALP046,"Alport Syndrome, X-Linked",,
MLD001,Melioidosis,,
LVR012,Liver Cirrhosis,,
CHG001,Chagas Disease,,
BRN028,Brain Cancer,,
NSP012,Nasopharyngeal Carcinoma,,
SCH015,Schizophrenia,,
WGN006,Wegener Granulomatosis,,
ESS003,Essential Thrombocythemia,,
JVN010,Juvenile Rheumatoid Arthritis,,
HRP006,Herpes Simplex,,
DWN001,Down Syndrome,,
CNN003,Conn's Syndrome,,
ATN007,"Autoinflammation, Lipodystrophy, and Dermatosis Syndrome",,
LYM017,Lyme Disease,,
HYD006,Hydrocephalus,,
LYM007,Lymphangioleiomyomatosis,,
ADL010,Adult Respiratory Distress Syndrome,,
PLM164,"Pulmonary Hypertension, Primary, 1",,
CNJ013,Conjunctivitis,,
HSH003,Hashimoto Thyroiditis,,
BRT054,Brittle Bone Disorder,,
SPN186,Spinal Cord Injury,,
TYP007,Typhoid Fever,,
TKY002,Takayasu Arteritis,,
LPD012,Lipoid Congenital Adrenal Hyperplasia,,
THN009,"Thanatophoric Dysplasia, Type I",,
CLC063,Celiac Disease 1,,
GST045,Gastroenteritis,,
ADL030,Adult-Onset Still's Disease,,
SCR008,Scrub Typhus,,
CRT072,Creutzfeldt-Jakob Disease,,
RCT015,Reactive Arthritis,,
ALC007,Alcohol Dependence,,
MDD011,Mood Disorder,,
APP008,Appendicitis,,
LPT001,Leptospirosis,,
FCT002,Factor Xi Deficiency,,
HYP020,Hyperprolactinemia,,
CNT047,Contact Dermatitis,,
GNG013,Gingivitis,,
SRC025,Sarcoidosis 1,,
HPT003,Hepatitis a,,
KRT001,Keratoconjunctivitis Sicca,,
ACT210,Acute Respiratory Distress Syndrome,,
MYS005,Myositis,,
HMR004,Hemorrhagic Fever with Renal Syndrome,,
CRD119,Cardiac Arrest,,
ALC004,Alcohol Abuse,,
INT066,Interstitial Lung Disease,,
SNS014,Sinusitis,,
KRT019,"Keratitis, Hereditary",,
ALC006,Alcoholic Hepatitis,,
CMM005,Common Cold,,
CMR001,Camurati-Engelmann Disease,,
KBK002,Kabuki Syndrome 1,,
FCT007,Factor Vii Deficiency,,
DFC004,Deficiency Anemia,,
MCR129,Microvascular Complications of Diabetes 1,,
PRP030,Purpura,,
NRV006,Nervous System Cancer,,
ACT074,Acute Lymphocytic Leukemia,,
SYN007,Synovitis,,
MCS002,Mucositis,,
TXC005,Toxic Shock Syndrome,,
HMR003,Hemorrhagic Disease,,
MCP040,Mucopolysaccharidosis-Plus Syndrome,,
SPN052,Spondyloarthropathy,,
CTR002,Cataract,,
MNT002,Mental Depression,,
IDP011,Idiopathic Interstitial Pneumonia,,
3HY005,3-Hydroxyacyl-Coa Dehydrogenase Deficiency,,
ALL010,Allergic Contact Dermatitis,,
ACN002,Acanthosis Nigricans,,
PLY018,Polycythemia,,
DBT010,Diabetic Neuropathy,,
INF032,Infertility,,
LGG001,Legg-Calve-Perthes Disease,,
ALZ049,Alzheimer Disease 2,,
PRC002,Paracoccidioidomycosis,,
BCT007,Bacterial Meningitis,,
PLS007,Plasmodium Falciparum Malaria,,
CHL067,Cholecystitis,,
HYP069,Hyperparathyroidism,,
INT030,Intracranial Aneurysm,,
PLY019,Polyneuropathy,,
FLR002,Filariasis,,
CMP010,Complex Regional Pain Syndrome,,
OVR049,Ovarian Disease,,
PLM012,Pulmonary Sarcoidosis,,
END033,Endocarditis,,
ACT105,Acute Mountain Sickness,,
SJG008,Sjogren Syndrome,,
GLY060,Glycogen Storage Disease Ia,,
LKD001,Leukodystrophy,,
CYS018,Cystitis,,
CNS004,Constipation,,
ERD001,Erdheim-Chester Disease,,
SLC006,Silicosis,,
EXT034,Extrinsic Allergic Alveolitis,,
BRN106,Burns,,
ISL003,Isolated Growth Hormone Deficiency,,
PTT009,Pituitary Gland Disease,,
INF034,Infective Endocarditis,,
BCT002,Bacterial Vaginosis,,
DBN001,Dubin-Johnson Syndrome,,
BNF002,Bone Fracture,,
PRN019,Perinatal Necrotizing Enterocolitis,,
LYM027,Lymphopenia,,
RTN016,Retinal Degeneration,,
IGR001,"Ige Responsiveness, Atopic",,
PLS006,Plasmodium Vivax Malaria,,
PLV003,Pelvic Inflammatory Disease,,
MGR003,Migraine with Aura,,
NPH018,Nephrogenic Systemic Fibrosis,,
EXF001,Exfoliation Syndrome,,
CYS010,Cystinosis,,
MCN007,Meconium Aspiration Syndrome,,
IRN001,Iron Deficiency Anemia,,
BRN022,Bronchiectasis,,
AGG001,Aggressive Periodontitis,,
AMN001,Amenorrhea,,
SPS003,Spastic Diplegia,,
PRC013,Pericarditis,,
SYP003,Syphilis,,
TST014,Testicular Cancer,,
TRC086,Trichohepatoenteric Syndrome 1,,
RHM028,Rheumatic Heart Disease,,
SCK005,Sickle Cell Disease,,
IMP005,Impotence,,
LKN025,"Leukoencephalopathy, Hereditary Diffuse, with Spheroids",,
CLC001,Calciphylaxis,,
SCK002,Sick Sinus Syndrome,,
HYP005,Hypokalemia,,
HPT009,Hepatopulmonary Syndrome,,
ANT034,Anterior Uveitis,,
VRL007,Viral Encephalitis,,
CTN003,Cutaneous Lupus Erythematosus,,
TRN034,Transverse Myelitis,,
DDN001,Duodenal Ulcer,,
FBR032,Fibromuscular Dysplasia,,
STM007,Stomatitis,,
PST095,Post-Thrombotic Syndrome,,
OVR046,Ovarian Cyst,,
HYP068,Hyperostosis,,
VTM028,"Vitamin E, Familial Isolated Deficiency of",,
ILT001,Ileitis,,
PLR008,Pleurisy,,
FNC043,"Fanconi Anemia, Complementation Group E",,
PRC012,Pericardial Effusion,,
DBT004,Diabetic Polyneuropathy,,
PLY017,Polyarteritis Nodosa,,
NPH091,"Nephrolithiasis, Calcium Oxalate",,
FML089,Familial Thoracic Aortic Aneurysm and Dissection,,
GSG001,Gas Gangrene,,
ATR005,Atrophic Gastritis,,
END046,Endometritis,,
OPN001,Open-Angle Glaucoma,,
INT067,Interstitial Nephritis,,
PST041,Posterior Urethral Valves,,
STR072,Stromal Keratitis,,
HYP043,Hyperandrogenism,,
PPL049,Papillon-Lefevre Syndrome,,
DNT012,Dental Caries,,
ACT017,Acute Chest Syndrome,,
HMC002,Homocystinuria,,
CLD007,Cold Agglutinin Disease,,
PRM108,Primary Progressive Multiple Sclerosis,,
SCL015,Scleritis,,
HMS001,Hemosiderosis,,
ACT068,Acute Cystitis,,
URT031,Ureteral Disease,,
IDP024,Idiopathic Inflammatory Myopathy,,
CRV039,Cervicitis,,
VRL012,Viral Meningitis,,
PRD040,"Periodontitis, Chronic",,
MTB004,Metabolic Acidosis,,
ACT164,Actinic Prurigo,,
DBT006,Diabetic Macular Edema,,
INH020,Inherited Metabolic Disorder,,
PTT037,Pituitary Tumors,,
PLM017,Pulmonary Alveolar Microlithiasis,,
HYP740,"Hyperlipoproteinemia, Type V",,
VND001,Vein Disease,,
PRP036,Peripheral T-Cell Lymphoma,,
AMY009,Amyloidosis Aa,,
DWR001,Dwarfism,,
CNT046,Central Nervous System Vasculitis,,
DST006,Diastolic Heart Failure,,
CHR431,Chronic Venous Insufficiency,,
HRM006,Hermansky-Pudlak Syndrome 3,,
DNG001,Dengue Shock Syndrome,,
NM001,Noma,,
HYP458,Hyper Ige Syndrome,,
NTR018,"Neutrophilia, Hereditary",,
ACD008,Acid-Labile Subunit Deficiency,,
SPN119,Spondylarthropathy,,
HYP085,Hypothalamic Disease,,
FTL021,Fetal Macrosomia,,
NSP002,Nasopharyngitis,,
MTR002,Mitral Valve Insufficiency,,
DDN006,Duodenitis,,
RTN021,Retinal Vascular Occlusion,,
PTN014,Patent Ductus Arteriosus 1,,
CRD137,Cardiogenic Shock,,
OBS037,Obesity-Hypoventilation Syndrome,,
HRN001,Horner's Syndrome,,
CNT015,Central Sleep Apnea,,
ACQ022,Acquired Generalized Lipodystrophy,,
SXL003,Sexual Disorder,,
ANL018,Analbuminemia,,
MSN001,Mesangial Proliferative Glomerulonephritis,,
DFF003,Diffuse Scleroderma,,
MYX004,Myxedema,,
ALP061,"Alopecia, Androgenetic, 1",,
CRS001,Crescentic Glomerulonephritis,,
MDS022,Mediastinitis,,
CRT009,Critical Illness Polyneuropathy,,
KRT008,Keratopathy,,
TTR005,Tetrahydrobiopterin Deficiency,,
MNN034,Mannose-Binding Lectin Deficiency,,
OST062,Osteoarthritis with Mild Chondrodysplasia,,
NRN002,Neuronitis,,
CHR579,Chiari Malformation Type Ii,,
IDP033,Idiopathic Edema,,
DFF006,Diffuse Idiopathic Skeletal Hyperostosis,,
ANC002,Anca-Associated Vasculitis,,
HYP781,Hypoascorbemia,,
CLP006,Clopidogrel Resistance,,
MYL013,Myeloperoxidase Deficiency,,
SPS219,"Spastic Paraplegia 17, Autosomal Dominant",,
ART018,Aortic Valve Insufficiency,,
CRB086,Cerebral Aneurysms,,
ERL029,"Early-Onset, Autosomal Dominant Alzheimer Disease",,
TND005,Tendinitis,,
BCL014,B-Cell Growth Factor,,
HMF004,Hemifacial Spasm,,
LTH045,"Lutheran Suppressor, X-Linked",,
CHR413,Chronic Myocardial Ischemia,,
SHW001,Shwartzman Phenomenon,,
RHM014,Rheumatoid Vasculitis,,
ALX002,Alexithymia,,
PTC002,Potocki-Lupski Syndrome,,
ATM022,Autoimmune Myocarditis,,
FNS001,Funisitis,,
CNT028,Central Retinal Artery Occlusion,,
PST055,Postural Hypotension,,
STC004,Stachybotrys Chartarum,,
CHR096,Chronic Pulmonary Heart Disease,,
LNG057,Long Qt Syndrome 13,,
MRN002,Mooren's Ulcer,,
ACL001,Acalculous Cholecystitis,,
PLY112,"Polyarteritis Nodosa, Childhood-Onset",,
ALN001,Aland Island Eye Disease,,
IMM001,Immune-Complex Glomerulonephritis,,
MLT002,Multiple Symmetrical Lipomatosis,,
LKS001,Leukostasis,,
SKN006,Skin Sarcoidosis,,
AMN002,Amino Acid Metabolic Disorder,,
GRN009,Granulomatous Hepatitis,,
HYP064,Hypogonadotropism,,
RNL097,Renal Artery Disease,,
LSB001,Louse-Borne Relapsing Fever,,
ALC010,Alcoholic Cardiomyopathy,,
BLD051,Blood Coagulation Disease,,
XNT009,Xanthoma Disseminatum,,
CRT004,Carotid Artery Thrombosis,,
ALP041,"Alopecia, Neurologic Defects, and Endocrinopathy Syndrome",,
PRG003,Progesterone-Receptor Negative Breast Cancer,,
HYP396,"Hypercholesterolemia, Autosomal Recessive",,
SLT014,Salt and Pepper Developmental Regression Syndrome,,
SBC035,Subacute Cutaneous Lupus Erythematosus,,
CMP028,Complement Component 2 Deficiency,,
CRB194,Cerebroretinal Microangiopathy with Calcifications and Cysts 1,,
CRC039,Coarctation of Aorta,,
AML044,"Amelogenesis Imperfecta, Type Ig",,
HNT004,Huntington Disease-Like 2,,
LPT014,Leptin Deficiency or Dysfunction,,
CMP090,"Complement Component 3 Deficiency, Autosomal Recessive",,
HPT020,Hepatic Vascular Disease,,
VSC008,Vascular Hemostatic Disease,,
DNS007,Dense Deposit Disease,,
APL017,Apolipoprotein C-Ii Deficiency,,
MLT151,Multiple Mitochondrial Dysfunctions Syndrome 5,,
INF013,Inferior Myocardial Infarction,,
PHG002,Phagocyte Bactericidal Dysfunction,,
HRP025,Herpes Simplex Virus Keratitis,,
HYP072,Hypersensitivity Reaction Type Iii Disease,,
ACT036,Acute Cholangitis,,
DYS013,Dysbaric Osteonecrosis,,
HYP114,Hypertensive Nephropathy,,
EPT021,Epithelial Recurrent Erosion Dystrophy,,
HNT011,Huntington Disease-Like 3,,
SPL006,Splenic Infarction,,
LYM045,Lymphocytic Vasculitis,,
MNG003,Mungan Syndrome,,
SPN331,Spondyloocular Syndrome,,
LKC003,Leukocyte Disease,,
HMP001,Hemopericardium,,
BCT020,Bacteremia 2,,
TRC078,Trichohepatoenteric Syndrome 2,,
SCR039,Scorpion Envenomation,,
ACT209,Acatalasemia,,
EXT035,Extrinsic Cardiomyopathy,,
MLT009,Multiple Cranial Nerve Palsy,,
AGR019,Age-Related Hearing Loss,,
ANG066,Angel-Shaped Phalangoepiphyseal Dysplasia,,
CTR102,"Cataract 2, Multiple Types",,
HRT008,Heart Conduction Disease,,
CRN006,Coronary Aneurysm,,
IDP041,Idiopathic Recurrent Pericarditis,,
RNL001,Renal Artery Obstruction,,
SBD001,Subdural Empyema,,
BRK012,Broken Heart Syndrome,,
SBN001,Subendocardial Myocardial Infarction,,
CHR013,Chronic Apical Periodontitis,,
PRL001,Purulent Labyrinthitis,,
ATM068,Autoimmune Hypoparathyroidism,,
PYS001,Pyosalpinx,,
